ActionSet,arrive.w move.e arrive.m,arrive.m move.e arrive.e,arrive.m move.e arrive.m,arrive.m move.e arrive.w,arrive.e pickup pickupfail,arrive.e pickup pickupsuccess,pickupfail pickup pickupsuccess,pickupfail pickup pickupfail,pickupsuccess move.w arrive.w,pickupsuccess move.w arrive.m,pickupsuccess move.w arrive.e,arrive.w putdown putfail,arrive.w putdown putsuccess,putfail putdown putsuccess,putfail putdown putfail,putsuccess move.e arrive.w,putsuccess move.e arrive.m,putsuccess move.e arrive.e,arrive.m move.w arrive.w,arrive.m move.w arrive.m,arrive.m move.w arrive.e,arrive.e move.w arrive.e,arrive.e move.w arrive.m,arrive.e move.w arrive.w,
4188,1.0,0.5429236921422526,0.4570763078577475,0.0,0.3769051396351706,0.6230948603648294,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.42523120955405863,0.5747687904459413,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4189,1.0,0.5893323821204737,0.41066761787952627,0.0,0.3769051396351706,0.6230948603648294,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.42523120955405863,0.5747687904459413,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4190,1.0,0.5893323821204737,0.41066761787952627,0.0,0.44102400391956653,0.5589759960804334,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.42523120955405863,0.5747687904459413,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4191,1.0,0.5893323821204737,0.41066761787952627,0.0,0.44102400391956653,0.5589759960804334,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.42523120955405863,0.5747687904459413,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4192,1.0,0.5893323821204737,0.41066761787952627,0.0,0.44102400391956653,0.5589759960804334,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.42523120955405863,0.5747687904459413,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4193,1.0,0.5893323821204737,0.41066761787952627,0.0,0.44102400391956653,0.5589759960804334,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.42523120955405863,0.5747687904459413,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4194,1.0,0.5893323821204737,0.41066761787952627,0.0,0.44102400391956653,0.5589759960804334,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.3811972010199385,0.6188027989800615,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4195,1.0,0.5893323821204737,0.41066761787952627,0.0,0.44102400391956653,0.5589759960804334,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.3811972010199385,0.6188027989800615,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4196,1.0,0.5297721838086676,0.4702278161913324,0.0,0.44102400391956653,0.5589759960804334,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.3811972010199385,0.6188027989800615,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4197,1.0,0.4769404479098026,0.5230595520901973,0.0,0.44102400391956653,0.5589759960804334,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.3811972010199385,0.6188027989800615,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4198,1.0,0.5291059781953589,0.4708940218046412,0.0,0.44102400391956653,0.5589759960804334,0.7525285332831269,0.24747146671687315,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.3811972010199385,0.6188027989800615,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
